epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.292,1.55332,1.75674,0.0261,0.76197,0.70531,0.76106,0.44495,1.39662,1.01915,0.01362,0.000475611,0.000475611,0.000475611
2,521.777,1.36243,1.13795,0.02082,0.77166,0.72317,0.76757,0.45584,1.39022,1.02132,0.01325,0.000933095,0.000933095,0.000933095
3,788.695,1.31946,1.06191,0.0193,0.75286,0.68767,0.74002,0.42933,1.48251,1.01558,0.01406,0.00137172,0.00137172,0.00137172
4,1046.41,1.32749,1.05677,0.01877,0.76419,0.70217,0.7455,0.42114,1.52045,1.12559,0.01365,0.00134412,0.00134412,0.00134412
5,1302.44,1.25463,0.99056,0.01695,0.72985,0.72976,0.76097,0.43892,1.44939,0.95786,0.01187,0.00131582,0.00131582,0.00131582
6,1557.74,1.21689,0.92869,0.0163,0.75154,0.71547,0.76684,0.44887,1.42291,0.95304,0.01183,0.00128753,0.00128753,0.00128753
7,1813.96,1.17769,0.92293,0.01558,0.78329,0.74241,0.78653,0.47491,1.36747,0.98456,0.01153,0.00125923,0.00125923,0.00125923
8,2070.58,1.14493,0.87203,0.01543,0.76166,0.71729,0.77086,0.46711,1.33964,1.04407,0.01088,0.00123094,0.00123094,0.00123094
9,2324.66,1.12751,0.85944,0.01488,0.79265,0.68695,0.76868,0.45293,1.37924,0.97372,0.0119,0.00120265,0.00120265,0.00120265
10,2580.59,1.10667,0.84225,0.01465,0.76667,0.72466,0.76771,0.47812,1.34517,1.01285,0.0109,0.00117435,0.00117435,0.00117435
11,2839,1.09263,0.81927,0.01406,0.76953,0.71653,0.78828,0.50661,1.27882,0.92966,0.0103,0.00114606,0.00114606,0.00114606
12,3096.41,1.08168,0.78625,0.01386,0.74328,0.68604,0.749,0.45464,1.36587,1.02259,0.01279,0.00111776,0.00111776,0.00111776
13,3352.97,1.06622,0.79674,0.01328,0.7397,0.73017,0.77298,0.49256,1.27388,0.89374,0.01047,0.00108947,0.00108947,0.00108947
14,3609.06,1.03605,0.75947,0.0132,0.76521,0.74836,0.77157,0.49206,1.30593,0.89548,0.0106,0.00106118,0.00106118,0.00106118
15,3865.74,1.03409,0.7659,0.01306,0.74175,0.72247,0.75015,0.47674,1.29255,0.97085,0.01024,0.00103288,0.00103288,0.00103288
16,4120.31,1.02087,0.74299,0.01249,0.68579,0.78104,0.75972,0.48454,1.26958,0.92784,0.00989,0.00100459,0.00100459,0.00100459
17,4375.48,1.01625,0.74087,0.01259,0.77339,0.74971,0.78483,0.47474,1.31961,0.92978,0.01095,0.000976293,0.000976293,0.000976293
18,4631.82,0.9939,0.70485,0.01249,0.67004,0.77164,0.71752,0.45028,1.34583,1.03942,0.01089,0.000947999,0.000947999,0.000947999
19,4887.4,0.97565,0.68312,0.01207,0.72426,0.75244,0.77281,0.48326,1.27956,0.91561,0.01088,0.000919704,0.000919704,0.000919704
20,5144.36,0.96243,0.678,0.01166,0.7485,0.75679,0.78087,0.50435,1.26751,0.88834,0.00948,0.00089141,0.00089141,0.00089141
21,5400.28,0.94947,0.66026,0.0118,0.77859,0.74832,0.76794,0.48123,1.33282,0.90676,0.01022,0.000863116,0.000863116,0.000863116
22,5655.2,0.95173,0.64667,0.01143,0.80469,0.75003,0.79046,0.49211,1.27127,0.89055,0.01004,0.000834822,0.000834822,0.000834822
23,5908.32,0.93112,0.64949,0.01117,0.78387,0.74975,0.77999,0.48138,1.31852,0.93474,0.01057,0.000806528,0.000806528,0.000806528
24,6161.84,0.90879,0.62605,0.01117,0.742,0.75776,0.76106,0.48208,1.29164,0.95249,0.0095,0.000778233,0.000778233,0.000778233
25,6417.32,0.90719,0.63964,0.01104,0.74497,0.76839,0.76832,0.49577,1.29031,0.9056,0.0102,0.000749939,0.000749939,0.000749939
26,6672.19,0.89012,0.59843,0.01081,0.80587,0.76937,0.77889,0.50286,1.30955,0.88208,0.01023,0.000721645,0.000721645,0.000721645
27,6927.44,0.87672,0.59754,0.01034,0.76802,0.75074,0.77427,0.51165,1.24293,0.91246,0.00958,0.000693351,0.000693351,0.000693351
28,7185.36,0.87529,0.58763,0.0104,0.78787,0.75035,0.769,0.50243,1.29827,0.93847,0.00981,0.000665057,0.000665057,0.000665057
29,7439.93,0.84137,0.56485,0.01021,0.78625,0.75579,0.76396,0.49596,1.32745,0.95205,0.01014,0.000636762,0.000636762,0.000636762
30,7694.94,0.83862,0.56272,0.00984,0.78922,0.74144,0.77326,0.50774,1.26819,0.93966,0.00957,0.000608468,0.000608468,0.000608468
31,7948.62,0.82846,0.55564,0.00996,0.79028,0.75484,0.76339,0.50725,1.2726,0.92607,0.00963,0.000580174,0.000580174,0.000580174
32,8202.95,0.81744,0.54954,0.00946,0.7654,0.75853,0.75379,0.49918,1.24977,0.9545,0.00944,0.00055188,0.00055188,0.00055188
33,8456.3,0.7992,0.52914,0.00931,0.8005,0.74819,0.76439,0.49252,1.30545,0.93423,0.01005,0.000523586,0.000523586,0.000523586
34,8709.95,0.80533,0.52424,0.00913,0.77535,0.7886,0.77918,0.5073,1.24681,0.8738,0.0098,0.000495291,0.000495291,0.000495291
35,8964.35,0.80655,0.53219,0.00932,0.78353,0.75083,0.7698,0.50782,1.27566,0.95673,0.00978,0.000466997,0.000466997,0.000466997
36,9216.78,0.79195,0.52701,0.00934,0.78604,0.7638,0.76238,0.50417,1.26769,0.91597,0.0096,0.000438703,0.000438703,0.000438703
37,9472.86,0.78188,0.49913,0.00875,0.77187,0.75532,0.76238,0.49803,1.26744,0.93619,0.01001,0.000410409,0.000410409,0.000410409
38,9726.05,0.75435,0.48331,0.00891,0.78757,0.753,0.77195,0.5054,1.27341,0.91517,0.00995,0.000382115,0.000382115,0.000382115
39,9979.73,0.75226,0.47871,0.00858,0.78269,0.77115,0.76232,0.50377,1.27925,0.95421,0.00985,0.00035382,0.00035382,0.00035382
40,10233.6,0.74246,0.48408,0.00859,0.77046,0.75322,0.75922,0.5056,1.24987,0.91956,0.0093,0.000325526,0.000325526,0.000325526
